CL_NM,TRRSRT_NM,TRRSRT_ADDR,ORIGIN_CL_NM,ANALS_BEGIN_DE,ANALS_END_DE,AVRG_SCORE_VALUE,CORE_KWRD_CN,CORE_KWRD_CO,AFRM_KWRD_CN,AFRM_KWRD_CO,NEGA_KWRD_CN,NEGA_KWRD_CO
공연전시,테디베어박물관,제주 서귀포시 중문관광로110번길 31,KAKAO,20230101,20230630,68,"인형,입장료,베어,테디베어,야외,세계,비스포크,직원,마인드,상대",10,,0,,0
공연전시,헬로키티아일랜드,제주 서귀포시 안덕면 한창로 340,KAKAO,20230101,20230630,57,"포토,타임,기대,성인,가격,지난번,방문,여왕키티,충격,폐지",10,기대,1,"충격,폐지",2
공연전시,피규어뮤지엄제주,제주 서귀포시 안덕면 한창로 243,KAKAO,20230101,20230630,80,"성인,무료입장,마블,상전,방문,티켓,아이,서류,표정,직원",10,,0,,0
공연전시,제주난타,제주 제주시 선돌목동길 56-26,KAKAO,20230101,20230630,100,"공연,관람,종합,전용,극장,시간,코로나,보세,남자,고등학생",10,,0,,0
공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,KAKAO,20230101,20230630,87,"공연,시간,감동,제주,서커스,추천,사진,노력,예술,직원",10,"감동,추천,노력",3,,0
기타,제주산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,KAKAO,20230101,20230630,81,"온천,탄산,노천,목욕탕,찜질방,야외,힐링,실내,동네,수준",10,힐링,1,,0
기타,오설록 티 뮤지엄,제주 서귀포시 안덕면 신화역사로 15,KAKAO,20230101,20230630,81,"녹차,아이스크림,제주,이니스프리,공간,오설록,공사,카페,건물,사진",10,,0,,0
기타,명월국민학교,제주 제주시 한림읍 명월로 48,KAKAO,20230101,20230630,68,"커피,사진,주문,생각,폐교,수준,상업,장소,직원,강제",10,,0,강제,1
레저관광,서귀포잠수함,제주 서귀포시 남성중로 40,KAKAO,20230101,20230630,62,"자리,잠수함,사진,아이,낭비,방문,물고기,난리,유료,가족",10,,0,난리,1
레저관광,제주 레일바이크,제주 제주시 구좌읍 용눈이오름로 641,KAKAO,20230101,20230630,27,"동물,레일바이크,상태,자체,노후,시설,관리,자동,최악,할인",10,,0,최악,1
레저관광,제주레포츠랜드,제주 제주시 조천읍 와흘상서2길 47,KAKAO,20230101,20230630,95,"카트,서바이벌,친절,체험,제주도,다음,아이,레포츠,제주,시설",10,친절,1,,0
레저관광,제주제트,제주 서귀포시 대포로 172-5,KAKAO,20230101,20230630,100,"전화,예약,경험,오후,당일,인원,출항,시간,직원,친절",10,친절,1,,0
키즈,뽀로로&타요테마파크 제주,제주 서귀포시 안덕면 병악로 269,KAKAO,20230101,20230630,80,"아이,입장료,뽀로로,성인,어른,아기,가격,공연,나중,공간",10,,0,,0
키즈,아쿠아플라넷 제주,제주 서귀포시 성산읍 섭지코지로 95,KAKAO,20230101,20230630,77,"시간,공연,볼거리,시설,아이,사진,수족관,가격,서커스,아쿠아리움",10,,0,,0
테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,KAKAO,20230101,20230630,67,"체험,동시,승마,제주,공연,카트,환불,생각,후기,입장료",10,,0,,0
테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,KAKAO,20230101,20230630,86,"미로,생각,아이,관리,입장료,박물관,공간,볼거리,부분,나무",10,,0,,0
테마파크,여미지식물원,제주 서귀포시 중문관광로 93,KAKAO,20230101,20230630,69,"관리,식물,날씨,규모,아이,전망대,야외,유지,느낌,예전",10,느낌,1,,0
테마파크,브릭캠퍼스,제주 제주시 1100로 3047,KAKAO,20230101,20230630,73,"레고,작품,이름,블랙아웃,사진,좌측,엄마,아빠,아기,식구",10,,0,,0
테마파크,일출랜드,제주 서귀포시 성산읍 중산간동로 4150-30,KAKAO,20230101,20230630,46,"갈바,허브,동산,가세,관리",5,,0,,0
테마파크,상효원,제주 서귀포시 산록남로 2847-37,KAKAO,20230101,20230630,87,"기차,포토존,생각,산책,시간,아이,이용,문의,근처,수목원",10,,0,,0
테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,KAKAO,20230101,20230630,95,"규모,현대,소망,제기,깔끔,열차",6,"소망,깔끔",2,,0
테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,KAKAO,20230101,20230630,93,"스누피,입장료,가든,포토존,볼거리,실외,사진,스탬프,추천,날씨",10,추천,1,,0
테마파크,신화테마파크제주,제주 서귀포시 안덕면 신화역사로304번길 38,KAKAO,20230101,20230630,77,"아이,세기,문제,티켓,투숙객,나약,인간,감당,놀이공원,아우라",10,,0,문제,1
테마파크,제주돌문화공원,제주 제주시 조천읍 남조로 2023,KAKAO,20230101,20230630,86,"광기,문화,제주,공간,해설사,공원,아래,후기,제주도,구현",10,,0,,0
테마파크,제주민속촌,제주 서귀포시 표선면 민속해안로 631-34,KAKAO,20230101,20230630,62,"중간,공연,초가집,민속촌,구경,아이,산책,볼거리,거리,애기",10,,0,,0
테마파크,카멜리아힐,제주 서귀포시 안덕면 병악로 166,KAKAO,20230101,20230630,69,"수국,동백꽃,입장료,동백,방문,사진,시기,휠체어,코스,계절",10,,0,,0
