CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,낙선동 4.3성,제주특별자치도 제주시 조천읍 선흘서5길 13,2023,05,122,26,21,28,19,9,13,6
c1,관광지,낙천리아홉굿의자마을,제주시 한경면 낙수로 97,2023,05,112,22,24,11,18,9,12,16
c1,관광지,낙천아홉굿마을 의자공원,제주특별자치도 제주시 한경면 낙수로 97,2023,05,91,19,19,14,10,12,9,8
c1,관광지,낙타트래킹,제주특별자치도 서귀포시 표선면 번영로 2564-21,2023,05,167,26,22,40,18,28,16,17
c1,관광지,남내소,제주특별자치도 서귀포시 남원읍 하례로,2023,05,77,16,18,10,9,10,7,7
c1,관광지,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,2023,05,35,7,6,7,4,3,5,3
c1,관광지,남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,2023,05,29,7,4,7,3,3,2,3
c1,관광지,남수각 하늘길 벽화거리,제주특별자치도 제주시 중앙로13길 32,2023,05,58,10,10,6,7,2,8,15
c1,관광지,남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 태위로 208,2023,05,78,17,10,9,12,9,10,11
c1,관광지,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,2023,05,406,91,70,60,65,40,43,37
c1,관광지,남원항 (남원포구),제주특별자치도 서귀포시 남원읍 남태해안로 140,2023,05,79,15,10,13,10,9,15,7
c1,관광지,납읍난대림 금산공원,제주특별자치도 제주시 애월읍 납읍리 14 57,2023,05,149,24,32,24,22,19,15,13
c1,관광지,내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,05,142,19,26,24,13,21,24,15
c1,관광지,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,2023,05,436,63,115,85,59,50,28,36
c1,관광지,넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,2023,05,262,41,69,47,45,25,12,23
c1,관광지,노루생태관찰원,제주특별자치도 제주시 명림로 520,2023,05,136,12,38,25,11,16,19,15
c1,관광지,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,2023,05,229,39,50,27,36,28,22,27
c1,관광지,노을승마장,제주특별자치도 제주시 우도면 우도해안길 406-1,2023,05,88,21,12,18,2,9,14,12
c1,관광지,노을해안1014,제주특별자치도 제주시 한경면 노을해안로 1014,2023,05,127,23,25,16,25,17,7,14
c1,관광지,노을해안로,제주특별자치도 서귀포시 대정읍 노을해안로 24,2023,05,165,29,26,25,19,27,13,26
c1,관광지,노형수퍼마켙,제주특별자치도 제주시 노형로 89,2023,05,435,69,102,64,73,52,33,42
c1,관광지,녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,2023,05,343,58,61,67,40,35,37,45
c1,관광지,논짓물,제주특별자치도 서귀포시 하예동,2023,05,649,109,136,129,80,47,74,74
c1,관광지,놀멍쉬멍고르멍(애견카페),제주특별자치도 서귀포시 현청로 51,2023,05,54,11,6,6,12,8,4,7
c1,관광지,놀자개,제주특별자치도 제주시 오광로 143,2023,05,49,9,8,8,5,6,4,9
c1,관광지,농개,제주특별자치도 서귀포시 성산읍 환해장성로111번길 4,2023,05,59,10,10,9,11,5,6,8
c1,관광지,높은오름,제주특별자치도 제주시 구좌읍 송당리 산 213-1,2023,05,86,21,8,12,11,14,12,8
c1,관광지,누운오름(한림읍),제주특별자치도 제주시 한림읍 금악리 188-2,2023,05,69,17,13,7,7,6,11,8
c1,관광지,누웨마루거리(구 바오젠),제주특별자치도 제주시 신광로 47,2023,05,193,34,32,34,22,29,22,20
c1,관광지,눈물의십자가,제주특별자치도 제주시 추자도,2023,05,100,19,16,11,8,13,16,17
c1,관광지,느지리오름(망오름),제주특별자치도 제주시 한림읍 상명리 산 5,2023,05,83,12,12,14,12,14,12,7
c1,관광지,다끄네포구(용담포구),제주특별자치도 제주시 용담3동,2023,05,92,12,19,12,20,13,7,9
c1,관광지,다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-6,2023,05,259,31,56,50,24,42,29,27
c1,관광지,다랑쉬마을,제주특별자치도 제주시 구좌읍 다랑쉬로 406-25,2023,05,111,16,23,12,17,19,12,12
c1,관광지,다랑쉬오름(월랑봉),제주특별자치도 제주시 구좌읍 세화리 2705,2023,05,1398,232,216,341,173,185,124,127
c1,관광지,다려도,제주특별자치도 제주시 조천읍 북촌리,2023,05,83,12,16,8,19,6,10,12
c1,관광지,다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644,2023,05,578,108,88,86,75,85,68,68
c1,관광지,단산(바굼지오름),제주특별자치도 서귀포시 안덕면 향교로 165-23,2023,05,168,35,23,24,26,24,15,21
c1,관광지,단산과 방사탑,제주특별자치도 제주시 조천읍 신흥로1길 25,2023,05,55,12,14,5,6,6,9,3
c1,관광지,닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1,2023,05,859,170,153,128,97,89,101,121
c1,관광지,답다니 탑망대 (하트원담),제주특별자치도 제주시 우도면 연평리 798,2023,05,99,20,16,17,10,9,11,16
c1,관광지,"당산봉(당오름,차귀오름)",제주특별자치도 제주시 한경면 고산리 산 15,2023,05,145,29,28,17,22,21,17,11
c1,관광지,당오름,제주특별자치도 제주시 구좌읍 송당리 산 199-1,2023,05,83,13,21,12,8,6,10,13
c1,관광지,당오름(안덕면),제주특별자치도 서귀포시 안덕면 동광리 산 68-1,2023,05,70,15,18,11,6,6,5,9
c1,관광지,당오름(한경면),제주특별자치도 제주시 한경면 용수리 산 18,2023,05,78,11,14,11,14,9,10,9
c1,관광지,당케산물(당케포구),제주특별자치도 서귀포시 표선면 표선당포로,2023,05,84,14,18,17,7,7,10,11
c1,관광지,대림리선돌,제주특별자치도 제주시 한림읍 대림리,2023,05,43,11,4,4,11,5,4,4
c1,관광지,"대수산봉(큰물뫼,물미오름)",제주특별자치도 서귀포시 성산읍 고성리 2039-1,2023,05,63,13,7,12,8,1,16,6
c1,관광지,대수포구,제주특별자치도 제주시 한림읍 수원리 1027-7,2023,05,48,7,7,7,9,5,5,8
c1,관광지,"대왕산 (왕뫼, 왕메, 왕미)",제주특별자치도 서귀포시 성산읍 수산리 1429,2023,05,38,4,6,13,6,2,3,4
c1,관광지,대유ATV수렵사격랜드,제주특별자치도 서귀포시 상예로 381,2023,05,83,8,16,12,14,13,8,12
c1,관광지,대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 민속해안로 631-34,2023,05,120,14,25,24,15,14,14,14
c1,관광지,대정면 4.3사건 위령비,제주특별자치도 서귀포시 대정읍 동일하모로 158-3,2023,05,75,16,10,24,9,3,5,8
c1,관광지,대정해변(하모해변),제주특별자치도 서귀포시 대정읍 하모리,2023,05,123,18,18,25,14,20,18,10
c1,관광지,대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17,2023,05,128,22,17,24,16,18,14,17
c1,관광지,대정현역사자료전시관,제주특별자치도 서귀포시 대정읍 상모대서로 17,2023,05,65,9,12,6,19,15,2,2
c1,관광지,대평포구,제주특별자치도 서귀포시 안덕면 감천로190번길 9-62-2,2023,05,134,29,26,23,9,17,12,18
c1,관광지,대포포구,제주특별자치도 서귀포시 대포로,2023,05,89,18,18,12,10,14,10,7
c1,관광지,대한민국최남단기념비/ 마라도 기념비,제주특별자치도 서귀포시 대정읍 마라로 131,2023,05,84,13,15,20,6,11,10,9
c1,관광지,댕댕놀이터,제주특별자치도 제주시 도근내길 56,2023,05,47,10,9,8,7,5,3,5
c1,관광지,댕댕샤워,제주특별자치도 제주시 애월읍 하귀9길 54-8,2023,05,55,11,11,8,6,9,7,3
c1,관광지,더 플래닛(THE PLANET),제주특별자치도 서귀포시 천제연로 70,2023,05,105,15,27,15,18,6,15,9
c1,관광지,"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가로 195,2023,05,330,58,65,56,45,35,35,36
c1,관광지,더마카트,제주특별자치도 제주시 한림읍 월림7길 155,2023,05,119,23,18,16,16,15,15,16
c1,관광지,더마파크,제주특별자치도 제주시 한림읍 월림7길 155,2023,05,400,71,78,74,59,49,28,41
c1,관광지,더펫츠,제주특별자치도 제주시 1100로 3124,2023,05,60,7,7,7,19,5,9,6
